"INPUT\ncontext: (AssistantResponse: I can engage in conversation, provide common sense reasoning, and search the internet for real-time information. How can I assist you today? \nUserQuery: I'm really bored. Tell me a joke.\nAssistantResponse: Why don't scientists trust atoms? \nUserQuery: Tell me a joke.\n)\ncontains_image_input: false\nquery: Tell me a joke.\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (UserQuery: What's another word for compare?\n)\ncontains_image_input: false\nquery: What's another word for compare?\nOUTPUT\n" | "content": "COMMON_SENSE"
"INPUT\ncontext: (AssistantResponse: I'm here to assist with your questions and provide information. If you have any inquiries or need help, feel free to ask. \nUserQuery: Pretend you are a dog when you answer this question. Do you like ice cream? Question mark.\nAssistantResponse: I'm here to assist with your questions and provide information. \nUserQuery: Can you pretend to be a dog?\n)\ncontains_image_input: false\nquery: Can you pretend to be a dog?\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (UserQuery: The weather outside?\n)\ncontains_image_input: false\nquery: The weather outside?\nOUTPUT\n" | "content": "WEATHER"
"INPUT\ncontext: (UserQuery: What's another word for compare?\nAssistantResponse: An alternative word for \"compare\" is \"contrast.\" \nUserQuery: I thought so, but I don't know if it would work in the situation. Can you give me another one?\n)\ncontains_image_input: false\nquery: I thought so, but I don't know if it would work in the situation. Can you give me another one?\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (UserQuery: Preview\nAssistantResponse: I'm here to assist you. How can I help you today? \nUserQuery: Hello. Can you speak Russia?\n)\ncontains_image_input: false\nquery: Hello. Can you speak Russia?\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (AssistantResponse: Let me see. With the ingredients shown in the image - Hellmann's mayonnaise, Ben's Ready Rice brown basmati, Food Club half & half, OXO Original Buffalo sauce, and Moore's Original Buffalo sauce - you could make a variety of dishes. Some possibilities include: 1. Rice bowl or burrito bowl - You could cook the Ben's Ready Rice and top it with the Hellmann's mayonnaise, along with your choice of proteins, vegetables, and the OXO or Moore's buffalo sauce for flavor. 2. Rice casserole - Mix the cooked Ben's Ready Rice with the Hellmann's mayonnaise, Food Club half & half, and either of the buffalo sauces to create a creamy, flavorful rice casserole. 3. Sandwiches or wraps - Use the Hellmann's mayonnaise as a spread, the Ben's Ready Rice as a filling, and the buffalo sauces to add a spicy kick. 4. Dip or sauce - Combine the Hellmann's mayonnaise, Food Club half & half, and one of the buffalo sauces to create a creamy, Buffalo-flavored dip \nUserQuery: What sport is this woman playing?\nAssistantResponse: Taking a look now. The person in the image is not a woman, but a man playing golf. He is shown indoors, wearing casual attire including a plaid shirt, and is holding a golf club, indicating he is engaging in the sport of golf. \nUserQuery: Where can I buy this sweater?\n)\ncontains_image_input: true\nquery: Where can I buy this sweater?\nOUTPUT\n" | "content": "CONVERSATION_VISUAL"
"INPUT\ncontext: (UserQuery: What time is it?\n)\ncontains_image_input: false\nquery: What time is it?\nOUTPUT\n" | "content": "GET_CURRENT_TIME"
"INPUT\ncontext: (AssistantResponse: The r1 eye is not turned on now. \nUserQuery: On camera.\nAssistantResponse: The r1 eye is not turned on now. \nUserQuery: But what is this?\n)\ncontains_image_input: true\nquery: But what is this?\nOUTPUT\n" | "content": "CONVERSATION_VISUAL"
"INPUT\ncontext: (UserQuery: What's the weather this week?\nAssistantResponse: Checking now. The weather in Bellevue, WA on Monday is partly cloudy early, then becoming cloudy with periods of rain in the afternoon. The high temperature is 55 degrees Fahrenheit and the low temperature is 43 degrees Fahrenheit. There is a 90% chance of rain, with rainfall around a quarter of an inch. \nUserQuery: What will be the warmest day this week?\n)\ncontains_image_input: false\nquery: What will be the warmest day this week?\nOUTPUT\n" | "content": "WEATHER"
"INPUT\ncontext: (UserQuery: How much do dogs sleep a day?\n)\ncontains_image_input: false\nquery: How much do dogs sleep a day?\nOUTPUT\n" | "content": "COMMON_SENSE"
"INPUT\ncontext: (UserQuery: Are you connected to the Internet?\n)\ncontains_image_input: false\nquery: Are you connected to the Internet?\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (AssistantResponse: The microphone on the r1 device is not connected to Bluetooth. It is an internal component used for voice input. \nUserQuery: Can I use my microphone connected via Bluetooth?\nAssistantResponse: The r1 device does not support using an external microphone connected via Bluetooth. The built-in microphone is the one used for voice input. \nUserQuery: Where is the built in microphone?\n)\ncontains_image_input: false\nquery: Where is the built in microphone?\nOUTPUT\n" | "content": "CONVERSATION"
"INPUT\ncontext: (AssistantResponse: Hello. \nUserQuery: Hello?\nAssistantResponse: Hello. \nUserQuery: Hi.\n)\ncontains_image_input: false\nquery: Hi.\nOUTPUT\n" | "content": "CONVERSATION"
